2015-05-03 13:30:11,313 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sna-deportivo.aserver:SNA_DEPORTIVO:0.0.1-SNAPSHOT @ /media/Archivos/Documentos/IngenieriaDeSistemas/Tesis/tesis_red_social/Prototipo/WebServices/SNA_DEPORTIVO/pom.xml.
2015-05-03 13:30:16,760 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SNA_DEPORTIVO/src
2015-05-03 13:30:16,762 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /SNA_DEPORTIVO/src overlaps with sources folder /SNA_DEPORTIVO/src
2015-05-03 13:30:16,762 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /SNA_DEPORTIVO/src/test/java because it overlaps with /SNA_DEPORTIVO/src
2015-05-03 13:30:17,446 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sna-deportivo.aserver:SNA_DEPORTIVO:0.0.1-SNAPSHOT @ /media/Archivos/Documentos/IngenieriaDeSistemas/Tesis/tesis_red_social/Prototipo/WebServices/SNA_DEPORTIVO/pom.xml.
2015-05-03 13:30:18,209 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 22 sec
2015-05-03 13:30:22,811 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-03 13:30:23,005 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-05-03 13:30:23,022 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-03 13:30:23,065 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /media/Archivos/Documentos/IngenieriaDeSistemas/Tesis/tesis_red_social/Prototipo/WebServices/SNA_DEPORTIVO/src/test/resources
2015-05-03 13:30:56,139 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EjbLifecycleMapping lifecycle mapping for MavenProject: com.sna_deportivo.model:SNA_DEPORTIVO_EJB:0.0.1-SNAPSHOT @ /media/Archivos/Documentos/IngenieriaDeSistemas/Tesis/tesis_red_social/Prototipo/WebServices/SNA_DEPORTIVO_EJB/pom.xml.
2015-05-03 13:30:57,641 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SNA_DEPORTIVO_EJB/ejbModule
2015-05-03 13:30:57,642 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /SNA_DEPORTIVO_EJB/ejbModule overlaps with sources folder /SNA_DEPORTIVO_EJB/ejbModule
